RT001 - RW015;74.07;0.644;41.925;96.3;92.59;73;27;85.19;27;0.4;61.528;96.3;10;37.04;3.7;33
RT002 - RW015;68.57;0.7065;49.539;85.71;94.29;79;21;91.43;35;0.43;61.556;97.14;5;14.29;2.86;66
RT003 - RW015;86.96;0.4352;52.849;69.57;95.65;100;0.01;47.83;23;0.27;61.393;95.65;7;30.43;8.7;52
RT004 - RW015;45.83;0.4199;57.156;41.67;70.83;83;17;91.67;24;0.26;61.523;100;8;33.33;0.01;67
RT001 - RW016;72.22;0.7445;24.177;83.33;77.78;37;63;83.33;18;0.46;61.453;88.89;6;33.33;0.01;50
RT002 - RW016;87.5;0.7851;40.759;93.75;93.57;36;64;100;32;0.48;61.546;93.75;7;21.88;0.01;59
RT003 - RW016;20.59;0.6083;55.893;91.18;79.41;33;67;82.35;34;0.37;61.455;100;30;88.24;0.01;71
RT004 - RW016;75;0.4659;25.756;91.67;100;49;51;100;12;0.29;61.443;100;10;83.33;0.01;17
RT001 - RW013;90.32;0.9514;32.583;90.32;80.65;56;23;32.26;31;0.59;61.465;100;28;90.32;0.01;32
RT002 - RW013;100;0.6233;41.713;100;100;52;38;100;26;0.38;61.447;100;24;92.31;100;69
RT003 - RW011;76.92;0.8872;14.652;100;100;50;50;76.92;13;0.55;61.465;100;10;76.92;100;77
RT004 - RW011;100;0.9676;34.105;100;90.91;30;70;78.79;33;0.6;61.447;100;30;90.91;100;100
RT002 - RW012;87.72;1.845;30.884;100;100;69;31;17.54;57;1.13;61.511;100;50;87.72;100;77
RT003 - RW012;77.78;1.136;15.836;100;83.33;69;31;50;18;0.7;61.471;100;18;100;100;100
RT004 - RW012;100;1.305;33.698;95.45;95.45;40;60;2.27;44;0.8;61.494;100;40;90.91;100;100
RT001 - RW010;100;1.186;32.021;100;86.84;51;49;100;38;0.73;61.506;100;33;86.84;100;92
RT002 - RW010;100;1.157;37.161;100;95.35;68;29;100;43;0.71;61.445;100;37;86.05;100;65
RT003 - RW009;100;0.9197;29.357;100;96.3;48;52;92.59;27;0.57;61.462;100;20;74.07;100;100
RT004 - RW009;100;1.461;26;94.74;84.21;63;23;63.16;38;0.9;61.503;100;28;73.68;100;100
RT005 - RW009;90.91;1.156;19.022;95.45;81.82;52;48;77.27;22;0.71;61.489;100;16;72.73;100;0.01
RT001 - RW009;100;0.4612;125.75;100;100;70;30;100;58;0.28;61.565;100;45;77.59;82.76;100
RT002 - RW009;100;1.254;47.824;100;100;56;44;100;60;0.77;61.543;100;55;91.67;75;90
RT001 - RW011;100;1.912;37.654;100;100;59;41;69.44;72;1.18;61.518;100;60;83.33;94.55;100
RT002 - RW011;100;0.699;68.669;100;100;39;61;72.92;48;0.43;62.676;100;39;81.25;83.33;100
RT001 - RW012;100;0.5253;53.302;100;100;49;51;89.29;28;0.32;61.562;100;15;53.57;71.43;46
RT004 - RW005;100;1.328;39.885;100;100;58;42;94.34;53;0.82;61.481;100;45;84.91;84.91;100
RT002 - RW014;100;1.379;94.948;100;100;5;82;61.07;131;0.85;61.474;69.47;72;54.96;65.65;100
